File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF283JCY	fastq	fastq		reads		ENCSR416NPL	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-410'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/30827/'], '@type': ['Target', 'Item'], 'name': 'CXXC1-human', 'label': 'CXXC1', '@id': '/targets/CXXC1-human/', 'title': 'CXXC1 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': 'aacec93d-d9dc-4f73-8edd-8ecce2debb43', 'status': 'released'}				CXXC1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-04-19	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF421ZIH/			7346105809	Brenton Graveley, UConn	1c0c5ffd82dfcb0a054499fba8f703df	SRA:SRR14843476	https://www.encodeproject.org/files/ENCFF283JCY/@@download/ENCFF283JCY.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF144HNL/, /files/ENCFF063ZYP/	released	s3://encode-public/2020/09/29/a874c13e-5b64-4972-9320-b7a98285ea23/ENCFF283JCY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/a874c13e-5b64-4972-9320-b7a98285ea23/ENCFF283JCY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF421ZIH	fastq	fastq		reads		ENCSR416NPL	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-410'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/30827/'], '@type': ['Target', 'Item'], 'name': 'CXXC1-human', 'label': 'CXXC1', '@id': '/targets/CXXC1-human/', 'title': 'CXXC1 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': 'aacec93d-d9dc-4f73-8edd-8ecce2debb43', 'status': 'released'}				CXXC1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-04-19	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF283JCY/			7931074744	Brenton Graveley, UConn	877c257dc24869fadcf11e77f50aea78	SRA:SRR14843476	https://www.encodeproject.org/files/ENCFF421ZIH/@@download/ENCFF421ZIH.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF853XQB/, /files/ENCFF816GYE/	released	s3://encode-public/2020/09/29/0c3e4558-2ebb-4f60-bb22-0111ed225bc7/ENCFF421ZIH.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/0c3e4558-2ebb-4f60-bb22-0111ed225bc7/ENCFF421ZIH.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF572PEZ	fastq	fastq		reads		ENCSR416NPL	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-410'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/30827/'], '@type': ['Target', 'Item'], 'name': 'CXXC1-human', 'label': 'CXXC1', '@id': '/targets/CXXC1-human/', 'title': 'CXXC1 (Homo sapiens)', 'investigated_as': ['chromatin remodeler'], 'uuid': 'aacec93d-d9dc-4f73-8edd-8ecce2debb43', 'status': 'released'}				CXXC1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2021-04-19	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF471WCH/			2607863901	Brenton Graveley, UConn	23ce994c2c45c38928b926d78c34d380	SRA:SRR14843477	https://www.encodeproject.org/files/ENCFF572PEZ/@@download/ENCFF572PEZ.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF144HNL/, /files/ENCFF063ZYP/	released	s3://encode-public/2020/09/29/1b4d6d8a-3361-47a8-b7cc-98fd9e067312/ENCFF572PEZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/1b4d6d8a-3361-47a8-b7cc-98fd9e067312/ENCFF572PEZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing biosample characterization		
ENCFF169FIG	fastq	fastq		reads		ENCSR671OGO	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3433/'], '@type': ['Target', 'Item'], 'name': 'IFIT2-human', 'label': 'IFIT2', '@id': '/targets/IFIT2-human/', 'title': 'IFIT2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '74161092-11a5-49ea-b715-42a2511fc6c7', 'status': 'released'}				IFIT2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF398OTD/			6650216863	Brenton Graveley, UConn	556521afdb3b4c9f803a58a5cb0cee1c	SRA:SRR14842018	https://www.encodeproject.org/files/ENCFF169FIG/@@download/ENCFF169FIG.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF144HNL/, /files/ENCFF063ZYP/	released	s3://encode-public/2020/09/30/85760c85-fa9a-4a25-b5d6-79b6e2151294/ENCFF169FIG.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/85760c85-fa9a-4a25-b5d6-79b6e2151294/ENCFF169FIG.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF398OTD	fastq	fastq		reads		ENCSR671OGO	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3433/'], '@type': ['Target', 'Item'], 'name': 'IFIT2-human', 'label': 'IFIT2', '@id': '/targets/IFIT2-human/', 'title': 'IFIT2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '74161092-11a5-49ea-b715-42a2511fc6c7', 'status': 'released'}				IFIT2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF169FIG/			7172679465	Brenton Graveley, UConn	33be1517b2c856ebb47e552c9bd66368	SRA:SRR14842018	https://www.encodeproject.org/files/ENCFF398OTD/@@download/ENCFF398OTD.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF853XQB/, /files/ENCFF816GYE/	released	s3://encode-public/2020/09/30/cf74bf81-c28d-4dd6-9da2-c57f152dab8e/ENCFF398OTD.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/cf74bf81-c28d-4dd6-9da2-c57f152dab8e/ENCFF398OTD.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF385MXH	fastq	fastq		reads		ENCSR671OGO	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3433/'], '@type': ['Target', 'Item'], 'name': 'IFIT2-human', 'label': 'IFIT2', '@id': '/targets/IFIT2-human/', 'title': 'IFIT2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '74161092-11a5-49ea-b715-42a2511fc6c7', 'status': 'released'}				IFIT2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF025KBG/			2459681929	Brenton Graveley, UConn	7a49b24f4f3d6a2b46560cd383729296	SRA:SRR14842019	https://www.encodeproject.org/files/ENCFF385MXH/@@download/ENCFF385MXH.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF144HNL/, /files/ENCFF063ZYP/	released	s3://encode-public/2020/09/30/687ffc0a-366e-4c49-b30d-58d914b14432/ENCFF385MXH.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/687ffc0a-366e-4c49-b30d-58d914b14432/ENCFF385MXH.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF025KBG	fastq	fastq		reads		ENCSR671OGO	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3433/'], '@type': ['Target', 'Item'], 'name': 'IFIT2-human', 'label': 'IFIT2', '@id': '/targets/IFIT2-human/', 'title': 'IFIT2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '74161092-11a5-49ea-b715-42a2511fc6c7', 'status': 'released'}				IFIT2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF385MXH/			2652323786	Brenton Graveley, UConn	f62a182793e898e6e14bd73740f3b1a6	SRA:SRR14842019	https://www.encodeproject.org/files/ENCFF025KBG/@@download/ENCFF025KBG.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF853XQB/, /files/ENCFF816GYE/	released	s3://encode-public/2020/09/30/b8144c48-52ac-4f79-9efa-2470d38a4d4d/ENCFF025KBG.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/b8144c48-52ac-4f79-9efa-2470d38a4d4d/ENCFF025KBG.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF600MSK	fastq	fastq		reads		ENCSR005UDT	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2081/'], '@type': ['Target', 'Item'], 'name': 'ERN1-human', 'label': 'ERN1', '@id': '/targets/ERN1-human/', 'title': 'ERN1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '34bf223e-ac88-41df-beab-396d2541c16c', 'status': 'released'}				ERN1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF899ECA/			3839671152	Brenton Graveley, UConn	fdf68f65bf74fca4e6d953b7f7c18d37	SRA:SRR14829306	https://www.encodeproject.org/files/ENCFF600MSK/@@download/ENCFF600MSK.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF500CKU/, /files/ENCFF078QWK/	released	s3://encode-public/2020/09/29/5f05aea2-4f75-44fb-b204-f00bae619579/ENCFF600MSK.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/5f05aea2-4f75-44fb-b204-f00bae619579/ENCFF600MSK.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF899ECA	fastq	fastq		reads		ENCSR005UDT	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2081/'], '@type': ['Target', 'Item'], 'name': 'ERN1-human', 'label': 'ERN1', '@id': '/targets/ERN1-human/', 'title': 'ERN1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '34bf223e-ac88-41df-beab-396d2541c16c', 'status': 'released'}				ERN1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF600MSK/			4015896413	Brenton Graveley, UConn	ba81c9ed76138d27f5a1a228507f8a1d	SRA:SRR14829306	https://www.encodeproject.org/files/ENCFF899ECA/@@download/ENCFF899ECA.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF550MXW/, /files/ENCFF003PFD/	released	s3://encode-public/2020/09/29/4308fecc-e449-4fd7-bbc7-b9655bd8736a/ENCFF899ECA.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/4308fecc-e449-4fd7-bbc7-b9655bd8736a/ENCFF899ECA.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF296MAO	fastq	fastq		reads		ENCSR005UDT	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2081/'], '@type': ['Target', 'Item'], 'name': 'ERN1-human', 'label': 'ERN1', '@id': '/targets/ERN1-human/', 'title': 'ERN1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '34bf223e-ac88-41df-beab-396d2541c16c', 'status': 'released'}				ERN1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF256SMC/			4374639442	Brenton Graveley, UConn	75f0eecff4422726dcc0228a604c6573	SRA:SRR14829305	https://www.encodeproject.org/files/ENCFF296MAO/@@download/ENCFF296MAO.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF550MXW/, /files/ENCFF003PFD/	released	s3://encode-public/2020/09/29/17090b7c-e7fb-4bf8-8703-7ed44e65ab36/ENCFF296MAO.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/17090b7c-e7fb-4bf8-8703-7ed44e65ab36/ENCFF296MAO.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF256SMC	fastq	fastq		reads		ENCSR005UDT	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2081/'], '@type': ['Target', 'Item'], 'name': 'ERN1-human', 'label': 'ERN1', '@id': '/targets/ERN1-human/', 'title': 'ERN1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '34bf223e-ac88-41df-beab-396d2541c16c', 'status': 'released'}				ERN1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2020-11-30	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF296MAO/			4174802542	Brenton Graveley, UConn	26e3b299f6d27757c52cbf87d9e2e76f	SRA:SRR14829305	https://www.encodeproject.org/files/ENCFF256SMC/@@download/ENCFF256SMC.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF500CKU/, /files/ENCFF078QWK/	released	s3://encode-public/2020/09/29/1ccde63b-b1b0-48c8-8a92-efc5dcc83820/ENCFF256SMC.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/29/1ccde63b-b1b0-48c8-8a92-efc5dcc83820/ENCFF256SMC.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF599CIQ	fastq	fastq		reads		ENCSR981TQN	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11231/'], '@type': ['Target', 'Item'], 'name': 'SEC63-human', 'label': 'SEC63', '@id': '/targets/SEC63-human/', 'title': 'SEC63 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'f646ff03-8679-435d-9858-2f579db348fb', 'status': 'released'}				SEC63-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2022-10-27	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	1	/files/ENCFF790LGZ/			2383966101	Brenton Graveley, UConn	8bb5e56bf9e438262b84a9bacd4285fc	SRA:SRR22522117	https://www.encodeproject.org/files/ENCFF599CIQ/@@download/ENCFF599CIQ.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF802OSJ/, /files/ENCFF330LGV/	released	s3://encode-public/2022/06/17/de3fe7b8-c4be-4d7e-8bb8-bcb53b8adafa/ENCFF599CIQ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/17/de3fe7b8-c4be-4d7e-8bb8-bcb53b8adafa/ENCFF599CIQ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF790LGZ	fastq	fastq		reads		ENCSR981TQN	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11231/'], '@type': ['Target', 'Item'], 'name': 'SEC63-human', 'label': 'SEC63', '@id': '/targets/SEC63-human/', 'title': 'SEC63 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'f646ff03-8679-435d-9858-2f579db348fb', 'status': 'released'}				SEC63-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2022-10-27	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	100		paired-ended	2	/files/ENCFF599CIQ/			2508688377	Brenton Graveley, UConn	632cd4a0e8808ad23e079af8e05df80d	SRA:SRR22522117	https://www.encodeproject.org/files/ENCFF790LGZ/@@download/ENCFF790LGZ.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF566QBO/, /files/ENCFF232USH/	released	s3://encode-public/2022/06/17/4282dc06-77fe-49b9-8fe6-a01195b3ba7a/ENCFF790LGZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/17/4282dc06-77fe-49b9-8fe6-a01195b3ba7a/ENCFF790LGZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF351XME	fastq	fastq		reads		ENCSR981TQN	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11231/'], '@type': ['Target', 'Item'], 'name': 'SEC63-human', 'label': 'SEC63', '@id': '/targets/SEC63-human/', 'title': 'SEC63 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'f646ff03-8679-435d-9858-2f579db348fb', 'status': 'released'}				SEC63-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2022-10-27	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	1	/files/ENCFF014ENF/			2460549080	Brenton Graveley, UConn	d54d3b6322ff4ad0a51327374f92de82	SRA:SRR22522116	https://www.encodeproject.org/files/ENCFF351XME/@@download/ENCFF351XME.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF802OSJ/, /files/ENCFF330LGV/	released	s3://encode-public/2022/06/17/3b1f0e41-eb31-421d-9056-0130c1cdca99/ENCFF351XME.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/17/3b1f0e41-eb31-421d-9056-0130c1cdca99/ENCFF351XME.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
ENCFF014ENF	fastq	fastq		reads		ENCSR981TQN	CRISPR RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11231/'], '@type': ['Target', 'Item'], 'name': 'SEC63-human', 'label': 'SEC63', '@id': '/targets/SEC63-human/', 'title': 'SEC63 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'f646ff03-8679-435d-9858-2f579db348fb', 'status': 'released'}				SEC63-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2022-10-27	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	100		paired-ended	2	/files/ENCFF351XME/			2550401878	Brenton Graveley, UConn	c83bf4a72dfa37cd885a83cbf27da108	SRA:SRR22522116	https://www.encodeproject.org/files/ENCFF014ENF/@@download/ENCFF014ENF.fastq.gz		Illumina NovaSeq 6000	/files/ENCFF566QBO/, /files/ENCFF232USH/	released	s3://encode-public/2022/06/17/fa69a99b-7b43-4242-b299-35a9067fb1e6/ENCFF014ENF.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/06/17/fa69a99b-7b43-4242-b299-35a9067fb1e6/ENCFF014ENF.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing compliant biosample characterization		
