run_accession	experiment_title	study_accession	aligned	sample_accession	altitude	assembly_quality	assembly_software	bam_aspera	bam_bytes	bam_ftp	bam_galaxy	bam_md5	base_count	binning_software	bio_material	bisulfite_protocol	broad_scale_environmental_context	broker_name	cage_protocol	cell_line	cell_type	center_name	checklist	chip_ab_provider	chip_protocol	chip_target	collected_by	collection_date	collection_date_end	collection_date_start	completeness_score	contamination_score	control_experiment	country	cultivar	culture_collection	depth	description	dev_stage	dnase_protocol	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_medium	environmental_sample	experiment_accession	experiment_alias	experiment_target	experimental_factor	experimental_protocol	extraction_protocol	faang_library_selection	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	file_location	first_created	first_public	germline	hi_c_protocol	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_scientific_name	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_gen_protocol	library_layout	library_max_fragment_size	library_min_fragment_size	library_name	library_pcr_isolation_protocol	library_prep_date	library_prep_date_format	library_prep_latitude	library_prep_location	library_prep_longitude	library_selection	library_source	library_strategy	local_environmental_context	location	location_end	location_start	lon	marine_region	mating_type	ncbi_reporting_standard	nominal_length	nominal_sdev	pcr_isolation_protocol	ph	project_name	protocol_label	read_count	read_strand	restriction_enzyme	restriction_enzyme_target_sequence	restriction_site	rna_integrity_num	rna_prep_3_protocol	rna_prep_5_protocol	rna_purity_230_ratio	rna_purity_280_ratio	rt_prep_protocol	run_alias	run_date	salinity	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_prep_interval	sample_prep_interval_units	sample_storage	sample_storage_processing	sample_title	cell_line_name	replicate	condition	PERT_TYPE	PERT_ENSEMBL	PERT_GENE	control_samples	pert_time	pert_time_units	pert_concentration	pert_concentration_units	sampling_campaign	sampling_platform	sampling_site	tax_id	scientific_name	secondary_project	secondary_sample_accession	secondary_study_accession	sequencing_date	sequencing_date_format	sequencing_location	sequencing_longitude	sequencing_method	sequencing_primer_catalog	sequencing_primer_lot	sequencing_primer_provider	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	status	strain	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_read_type	tag	target_gene	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	transposase_protocol	variety
SRR5837559	Illumina HiSeq 2500 sequencing: GSM2706321: CTRL_3_45d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361763									975486300									GEO																Illumina HiSeq 2500 sequencing: GSM2706321: CTRL_3_45d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3014040	GSM2706321						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/009/SRR5837559/SRR5837559.fastq.gz	562131430	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5837559/SRR5837559.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5837559/SRR5837559.fastq.gz	683317586fa1b857aa6fbda37949e707		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		19509726											GSM2706321_r1			GSM2706321			CTRL_3_45d (techn. Rep. 1)						CTRL_3_45d (techn. Rep. 1)	ORGANOID_GBM	3	CONTROL	CONTROL			SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363636	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/009/SRR5837559	342010711	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/009/SRR5837559	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/009/SRR5837559	b1a5452807eae76c36aa2301ca5e5804	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR5837572	Illumina HiSeq 2500 sequencing: GSM2706334: CTRL_3_45d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361750									1017820500									GEO																Illumina HiSeq 2500 sequencing: GSM2706334: CTRL_3_45d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3014053	GSM2706334						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/002/SRR5837572/SRR5837572.fastq.gz	595768179	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5837572/SRR5837572.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5837572/SRR5837572.fastq.gz	7b53189560b132e0d531c0cddcf4564e		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		20356410											GSM2706334_r1			GSM2706334			CTRL_3_45d (techn. Rep. 2)						CTRL_3_45d (techn. Rep. 2)	ORGANOID_GBM	3	CONTROL	CONTROL			SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363646	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/002/SRR5837572	364035663	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/002/SRR5837572	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/002/SRR5837572	b9ba5077886f5b05793c881464bb9638	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR6726576	Illumina HiSeq 2500 sequencing: GSM3004146: GBM-1_1_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536481									475923750									GEO																Illumina HiSeq 2500 sequencing: GSM3004146: GBM-1_1_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699593	GSM3004146						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/006/SRR6726576/SRR6726576.fastq.gz	278578359	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/006/SRR6726576/SRR6726576.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/006/SRR6726576/SRR6726576.fastq.gz	824fd366e30476931579f950799f9c5f		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		9518475											GSM3004146_r1			GSM3004146			GBM-1_1_130d (techn. Rep. 1)						GBM-1_1_130d (techn. Rep. 1)	ORGANOID_GBM	1	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959067	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/006/SRR6726576	170183143	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/006/SRR6726576	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/006/SRR6726576	eca7bb113ae9fca1465d33de4886d426	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726594	Illumina HiSeq 2500 sequencing: GSM3004164: GBM-1_1_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536462									475575300									GEO																Illumina HiSeq 2500 sequencing: GSM3004164: GBM-1_1_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699609	GSM3004164						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/004/SRR6726594/SRR6726594.fastq.gz	279489635	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/004/SRR6726594/SRR6726594.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/004/SRR6726594/SRR6726594.fastq.gz	95597463df6da99ceb492250dc32a941		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		9511506											GSM3004164_r1			GSM3004164			GBM-1_1_130d (techn. Rep. 2)						GBM-1_1_130d (techn. Rep. 2)	ORGANOID_GBM	1	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959082	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/004/SRR6726594	171146829	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/004/SRR6726594	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/004/SRR6726594	2f32741f842b93a40d8679a5310c2ea1	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR5837560	Illumina HiSeq 2500 sequencing: GSM2706322: GBM-1_1_45d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361762									1041433600									GEO																Illumina HiSeq 2500 sequencing: GSM2706322: GBM-1_1_45d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3014041	GSM2706322						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/000/SRR5837560/SRR5837560.fastq.gz	600516257	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5837560/SRR5837560.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5837560/SRR5837560.fastq.gz	7c650b1f3209ed540da746dccda52dbd		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		20828672											GSM2706322_r1			GSM2706322			GBM-1_1_45d (techn. Rep. 1)						GBM-1_1_45d (techn. Rep. 1)	ORGANOID_GBM	1	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363632	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/000/SRR5837560	365282733	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/000/SRR5837560	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/000/SRR5837560	eb7106444bf7724ad0cffb95af545cf6	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR5837573	Illumina HiSeq 2500 sequencing: GSM2706335: GBM-1_1_45d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361749									1090403100									GEO																Illumina HiSeq 2500 sequencing: GSM2706335: GBM-1_1_45d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3014054	GSM2706335						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/003/SRR5837573/SRR5837573.fastq.gz	638642582	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5837573/SRR5837573.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5837573/SRR5837573.fastq.gz	df8b7c8d380682dd515054fdf26f2c92		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		21808062											GSM2706335_r1			GSM2706335			GBM-1_1_45d (techn. Rep. 2)						GBM-1_1_45d (techn. Rep. 2)	ORGANOID_GBM	1	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363645	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/003/SRR5837573	390217517	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/003/SRR5837573	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/003/SRR5837573	15894aa1cd03d9b975227ebb22df1c8e	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR6726577	Illumina HiSeq 2500 sequencing: GSM3004147: GBM-1_2_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536480									356539250									GEO																Illumina HiSeq 2500 sequencing: GSM3004147: GBM-1_2_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699594	GSM3004147						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/007/SRR6726577/SRR6726577.fastq.gz	208493765	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/007/SRR6726577/SRR6726577.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/007/SRR6726577/SRR6726577.fastq.gz	9350182e6c56dfe27a9a6916ae645c7a		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		7130785											GSM3004147_r1			GSM3004147			GBM-1_2_130d (techn. Rep. 1)						GBM-1_2_130d (techn. Rep. 1)	ORGANOID_GBM	2	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959068	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/007/SRR6726577	127403502	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/007/SRR6726577	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/007/SRR6726577	58521b6af634331100f28ad04cadfba9	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726595	Illumina HiSeq 2500 sequencing: GSM3004165: GBM-1_2_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536461									356496700									GEO																Illumina HiSeq 2500 sequencing: GSM3004165: GBM-1_2_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699610	GSM3004165						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/005/SRR6726595/SRR6726595.fastq.gz	209363982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/005/SRR6726595/SRR6726595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/005/SRR6726595/SRR6726595.fastq.gz	3589450beb5b3f1fe13347eec60eae1f		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		7129934											GSM3004165_r1			GSM3004165			GBM-1_2_130d (techn. Rep. 2)						GBM-1_2_130d (techn. Rep. 2)	ORGANOID_GBM	2	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959084	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/005/SRR6726595	128248835	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/005/SRR6726595	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/005/SRR6726595	7c947b146b51c3b4871c59ecb357a64d	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726578	Illumina HiSeq 2500 sequencing: GSM3004148: GBM-1_3_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536479									145589950									GEO																Illumina HiSeq 2500 sequencing: GSM3004148: GBM-1_3_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699595	GSM3004148						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/008/SRR6726578/SRR6726578.fastq.gz	100994704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/008/SRR6726578/SRR6726578.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/008/SRR6726578/SRR6726578.fastq.gz	fc220cfa502687e95a2376fafc7afcc6		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		2911799											GSM3004148_r1			GSM3004148			GBM-1_3_130d (techn. Rep. 1)						GBM-1_3_130d (techn. Rep. 1)	ORGANOID_GBM	3	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959069	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/008/SRR6726578	63944395	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/008/SRR6726578	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/008/SRR6726578	75779862ecf110e5e0db068205cecb63	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726596	Illumina HiSeq 2500 sequencing: GSM3004166: GBM-1_3_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536491									150738800									GEO																Illumina HiSeq 2500 sequencing: GSM3004166: GBM-1_3_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699611	GSM3004166						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/006/SRR6726596/SRR6726596.fastq.gz	104391573	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/006/SRR6726596/SRR6726596.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/006/SRR6726596/SRR6726596.fastq.gz	150aef250580fb60af2b9cdb0bbd18e8		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		3014776											GSM3004166_r1			GSM3004166			GBM-1_3_130d (techn. Rep. 2)						GBM-1_3_130d (techn. Rep. 2)	ORGANOID_GBM	3	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959085	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/006/SRR6726596	66073450	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/006/SRR6726596	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/006/SRR6726596	93eb32d206064ec3d5b527aab11dff19	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
