study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	read_count	experiment_title	run_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA523380	SAMN10988564	SRS4395266	SRX5414186	SRR8615054	9606	Homo sapiens	TERTp-LCLC103H_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	319733	Illumina MiSeq sequencing; TERTp of LCLC103H_LUNG	LCLC-103H.bam	17561975;24566590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615054/SRR8615054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615054/SRR8615054_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/004/SRR8615054	LCLC103H_LUNG	LCLC103H_LUNG
PRJNA523380	SAMN10987709	SRS4395265	SRX5414185	SRR8615055	9606	Homo sapiens	TERTp-LMSU_STOMACH	PAIRED	AMPLICON	GENOMIC	PCR	159223	Illumina MiSeq sequencing; TERTp of LMSU_STOMACH	LMSU.bam	7768358;12084722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615055/SRR8615055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615055/SRR8615055_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615055	LMSU_STOMACH	LMSU_STOMACH
PRJNA523380	SAMN10988232	SRS4395264	SRX5414184	SRR8615056	9606	Homo sapiens	TERTp-LK2_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	228933	Illumina MiSeq sequencing; TERTp of LK2_LUNG	LK-2.bam	10514052;17136043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615056/SRR8615056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615056/SRR8615056_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/006/SRR8615056	LK2_LUNG	LK2_LUNG
PRJNA523380	SAMN10987819	SRS4395263	SRX5414183	SRR8615057	9606	Homo sapiens	TERTp-KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PAIRED	AMPLICON	GENOMIC	PCR	171898	Illumina MiSeq sequencing; TERTp of KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-27.bam	8238325;12928990	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615057/SRR8615057_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615057	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PRJNA523380	SAMN10987859	SRS4395262	SRX5414182	SRR8615058	9606	Homo sapiens	TERTp-KE39_STOMACH	PAIRED	AMPLICON	GENOMIC	PCR	161220	Illumina MiSeq sequencing; TERTp of KE39_STOMACH	KE-39.bam	7855822;12254297	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615058/SRR8615058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615058/SRR8615058_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615058	KE39_STOMACH	KE39_STOMACH
PRJNA523380	SAMN10988458	SRS4395261	SRX5414181	SRR8615059	9606	Homo sapiens	TERTp-KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PAIRED	AMPLICON	GENOMIC	PCR	119639	Illumina MiSeq sequencing; TERTp of KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KYO-1.bam	6245630;9247973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615059/SRR8615059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615059/SRR8615059_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615059	KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PRJNA523380	SAMN10988515	SRS4395260	SRX5414180	SRR8615060	9606	Homo sapiens	TERTp-KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PAIRED	AMPLICON	GENOMIC	PCR	89100	Illumina MiSeq sequencing; TERTp of KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN-8.bam	4597448;6828221	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615060/SRR8615060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615060/SRR8615060_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615060	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PRJNA523380	SAMN10988028	SRS4395259	SRX5414179	SRR8615061	9606	Homo sapiens	TERTp-SW1573_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	187517	Illumina MiSeq sequencing; TERTp of SW1573_LUNG	SW_1573.bam	9051291;14216856	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615061/SRR8615061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615061/SRR8615061_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615061	SW1573_LUNG	SW1573_LUNG
PRJNA523380	SAMN10988328	SRS4395258	SRX5414178	SRR8615062	9606	Homo sapiens	TERTp-SW403_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	143214	Illumina MiSeq sequencing; TERTp of SW403_LARGE_INTESTINE	SW403.bam	8160421;10990836	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615062/SRR8615062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615062/SRR8615062_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615062	SW403_LARGE_INTESTINE	SW403_LARGE_INTESTINE
PRJNA523380	SAMN10988333	SRS4395257	SRX5414177	SRR8615063	9606	Homo sapiens	TERTp-SW1417_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	144226	Illumina MiSeq sequencing; TERTp of SW1417_LARGE_INTESTINE	SW1417.bam	8691083;11236625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615063/SRR8615063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615063/SRR8615063_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/003/SRR8615063	SW1417_LARGE_INTESTINE	SW1417_LARGE_INTESTINE
PRJNA523380	SAMN10987771	SRS4395256	SRX5414176	SRR8615064	9606	Homo sapiens	TERTp-SW1463_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	124175	Illumina MiSeq sequencing; TERTp of SW1463_LARGE_INTESTINE	SW1463.bam	8490659;9922191	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615064/SRR8615064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615064/SRR8615064_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/004/SRR8615064	SW1463_LARGE_INTESTINE	SW1463_LARGE_INTESTINE
PRJNA523380	SAMN10988110	SRS4395255	SRX5414175	SRR8615065	9606	Homo sapiens	TERTp-T3M10_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	216749	Illumina MiSeq sequencing; TERTp of T3M10_LUNG	T3M-10.bam	9406454;15970628	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615065/SRR8615065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615065/SRR8615065_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/005/SRR8615065	T3M10_LUNG	T3M10_LUNG
PRJNA523380	SAMN10987608	SRS4395254	SRX5414174	SRR8615066	9606	Homo sapiens	TERTp-TC71_BONE	PAIRED	AMPLICON	GENOMIC	PCR	30020	Illumina MiSeq sequencing; TERTp of TC71_BONE	TC-71.bam	2590645;2549657	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615066/SRR8615066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615066/SRR8615066_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/006/SRR8615066	TC71_BONE	TC71_BONE
PRJNA523380	SAMN10987646	SRS4395253	SRX5414173	SRR8615067	9606	Homo sapiens	TERTp-SW480_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	204112	Illumina MiSeq sequencing; TERTp of SW480_LARGE_INTESTINE	SW480.bam	11234611;15550259	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615067/SRR8615067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615067/SRR8615067_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/007/SRR8615067	SW480_LARGE_INTESTINE	SW480_LARGE_INTESTINE
PRJNA523380	SAMN10987996	SRS4395252	SRX5414172	SRR8615068	9606	Homo sapiens	TERTp-SW837_LARGE_INTESTINE	PAIRED	AMPLICON	GENOMIC	PCR	226189	Illumina MiSeq sequencing; TERTp of SW837_LARGE_INTESTINE	SW837.bam	12817057;17282878	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615068/SRR8615068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615068/SRR8615068_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/008/SRR8615068	SW837_LARGE_INTESTINE	SW837_LARGE_INTESTINE
PRJNA523380	SAMN10988443	SRS4395251	SRX5414171	SRR8615069	9606	Homo sapiens	TERTp-TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PAIRED	AMPLICON	GENOMIC	PCR	163188	Illumina MiSeq sequencing; TERTp of TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF-1.bam	8652680;12555760	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615069/SRR8615069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615069/SRR8615069_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/009/SRR8615069	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PRJNA523380	SAMN10987739	SRS4395250	SRX5414170	SRR8615070	9606	Homo sapiens	TERTp-TGBC11TKB_STOMACH	PAIRED	AMPLICON	GENOMIC	PCR	122798	Illumina MiSeq sequencing; TERTp of TGBC11TKB_STOMACH	TGBC11TKB.bam	7518538;9568809	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615070/SRR8615070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615070/SRR8615070_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8615070	TGBC11TKB_STOMACH	TGBC11TKB_STOMACH
PRJNA523380	SAMN10987672	SRS4395249	SRX5414169	SRR8615071	9606	Homo sapiens	TERTp-NCIH1734_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	156469	Illumina MiSeq sequencing; TERTp of NCIH1734_LUNG	NCI-H1734.bam	9488742;12125932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615071/SRR8615071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615071/SRR8615071_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/001/SRR8615071	NCIH1734_LUNG	NCIH1734_LUNG
PRJNA523380	SAMN10988171	SRS4395248	SRX5414168	SRR8615072	9606	Homo sapiens	TERTp-NCIH1755_LUNG	PAIRED	AMPLICON	GENOMIC	PCR	165364	Illumina MiSeq sequencing; TERTp of NCIH1755_LUNG	NCI-H1755.bam	8249562;12635650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615072/SRR8615072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615072/SRR8615072_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR861/002/SRR8615072	NCIH1755_LUNG	NCIH1755_LUNG
