accession	altitude	assembly_quality	assembly_software	base_count	binning_software	bio_material	broker_name	cell_line	cell_type	center_name	checklist	collected_by	collection_date	collection_date_submitted	completeness_score	contamination_score	country	cram_index_aspera	cram_index_ftp	cram_index_galaxy	cultivar	culture_collection	depth	description	dev_stage	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_package	environmental_sample	experiment_accession	experiment_alias	experiment_title	experimental_factor	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_created	first_public	germline	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_layout	library_name	library_selection	library_source	library_strategy	location	lon	mating_type	nominal_length	nominal_sdev	parent_study	ph	project_name	protocol_label	read_count	run_accession	run_alias	salinity	sample_accession	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_title	replicate	developmental_stage	cell_type_name	cell_line_name	condition	timepoint	timepoint_units	sampling_campaign	sampling_platform	sampling_site	scientific_name	secondary_sample_accession	secondary_study_accession	sequencing_method	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	strain	study_accession	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_sex	target_gene	tax_id	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	variety
SAMN13618440				11871960362				21-B-9	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413914	R16-033_H5TH3BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/013/SRR10738313/SRR10738313_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/013/SRR10738313/SRR10738313_2.fastq.gz	2995214037;3542166133	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/013/SRR10738313/SRR10738313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/013/SRR10738313/SRR10738313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/013/SRR10738313/SRR10738313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/013/SRR10738313/SRR10738313_2.fastq.gz	68b68c183442fbeb48b4718d3860e227;486cc2a219a6ab40fd5ead5d9fbfd813	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-9		12/20/19			PAIRED	R16-033_H5TH3BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										58772081	SRR10738313	R16-033_H5TH3BBXX_S31_L005_R1_001.fastq.gz		SAMN13618440	R16-033_H5TH3BBXX			R16-033		R16-033				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860783	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/013/SRR10738313	4730858782	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/013/SRR10738313	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/013/SRR10738313	a8c0984f0916c1d0c6253beb9ecc420b		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618439				9755468800				21-B-9	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413913	R16-033_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/014/SRR10738314/SRR10738314_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/014/SRR10738314/SRR10738314_2.fastq.gz	2429859662;2782084902	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/014/SRR10738314/SRR10738314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/014/SRR10738314/SRR10738314_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/014/SRR10738314/SRR10738314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/014/SRR10738314/SRR10738314_2.fastq.gz	dd79f95843fc284d4fbbf7578bca59c7;2ec1805ae6c35aa6a80ca2afefa24a86	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-9		12/20/19			PAIRED	R16-033_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										48294400	SRR10738314	R16-033_H5H27BBXX_S3_L001_R1_001.fastq.gz		SAMN13618439	R16-033_H5H27BBXX			R16-033		R16-033				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860780	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/014/SRR10738314	3793109441	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/014/SRR10738314	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/014/SRR10738314	01f2019a0e5d263809466af52a206d2e		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618425				10219727824				21-B-8	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413986	R16-014_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/041/SRR10738241/SRR10738241_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/041/SRR10738241/SRR10738241_2.fastq.gz	2432284262;2793290861	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738241/SRR10738241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738241/SRR10738241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738241/SRR10738241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/041/SRR10738241/SRR10738241_2.fastq.gz	235efbe741c7fb12c40430b9e45b25d7;f689c7f5fad750b41e938f9c8524f2f0	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-8		12/20/19			PAIRED	R16-014_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										50592712	SRR10738241	R16-014_H5H27BBXX_S6_L001_R1_001.fastq.gz		SAMN13618425	R16-014_H5H27BBXX			R16-014		R16-014				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860855	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/041/SRR10738241	3973993349	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/041/SRR10738241	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/041/SRR10738241	baad43568e3d84c828aeab1818609704		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618424				10938807020				21-B-8	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413975	R16-013_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/052/SRR10738252/SRR10738252_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/052/SRR10738252/SRR10738252_2.fastq.gz	2752189485;3183743828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/052/SRR10738252/SRR10738252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/052/SRR10738252/SRR10738252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/052/SRR10738252/SRR10738252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/052/SRR10738252/SRR10738252_2.fastq.gz	9c29884b1b3c0a144f8d9c1df8b87d33;470aad5cac4460acaef00ae22964583e	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-8		12/20/19			PAIRED	R16-013_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										54152510	SRR10738252	R16-013_H5H27BBXX_S39_L005_R1_001.fastq.gz		SAMN13618424	R16-013_H5H27BBXX			R16-013		R16-013				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860844	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/052/SRR10738252	4391852709	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/052/SRR10738252	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/052/SRR10738252	c459c58a4cf0174ce03b578af3aa67b7		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618432				11146467464				21-B-8	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413905	R16-026_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/022/SRR10738322/SRR10738322_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/022/SRR10738322/SRR10738322_2.fastq.gz	2741310370;3144961527	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/022/SRR10738322/SRR10738322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/022/SRR10738322/SRR10738322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/022/SRR10738322/SRR10738322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/022/SRR10738322/SRR10738322_2.fastq.gz	7a1e99f1b8d4e4f94e7d1aaa70bc7a33;5f4c89f44f5ef68c982429ce6d22df59	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-8		12/20/19			PAIRED	R16-026_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										55180532	SRR10738322	R16-026_H5H27BBXX_S47_L006_R1_001.fastq.gz		SAMN13618432	R16-026_H5H27BBXX			R16-026		R16-026				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860774	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/022/SRR10738322	4508645163	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/022/SRR10738322	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/022/SRR10738322	8115f9b27958c7482ef16dcba7918d5c		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618532				10623721360				21-B-8	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413860	R16-693_H7V3JBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/067/SRR10738367/SRR10738367_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/067/SRR10738367/SRR10738367_2.fastq.gz	2541977545;2743791807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/067/SRR10738367/SRR10738367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/067/SRR10738367/SRR10738367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/067/SRR10738367/SRR10738367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/067/SRR10738367/SRR10738367_2.fastq.gz	0ddc1b3b71be25ae283414d1dc802a81;be6a01f49a09fced65a6d0c55e557ff8	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-8		12/20/19			PAIRED	R16-693_H7V3JBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										52592680	SRR10738367	R16-693_H7V3JBBXX_S40_L007_R1_001.fastq.gz		SAMN13618532	R16-693_H7V3JBBXX			R16-693		R16-693				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860729	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/067/SRR10738367	3877026584	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/067/SRR10738367	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/067/SRR10738367	7fa3e0f32446ee976ea40d5662924bc0		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618417				10994466908				21-B-8	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413841	R16-002_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/086/SRR10738386/SRR10738386_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/086/SRR10738386/SRR10738386_2.fastq.gz	2718970426;3160318662	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/086/SRR10738386/SRR10738386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/086/SRR10738386/SRR10738386_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/086/SRR10738386/SRR10738386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/086/SRR10738386/SRR10738386_2.fastq.gz	3ad501d050094050f66e71db4d7c6c31;ecc829b0a229059ffbdc2726f5839326	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-8		12/20/19			PAIRED	R16-002_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										54428054	SRR10738386	R16-002_H5H27BBXX_S26_L004_R1_001.fastq.gz		SAMN13618417	R16-002_H5H27BBXX			R16-002		R16-002				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860710	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/086/SRR10738386	4372792352	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/086/SRR10738386	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/086/SRR10738386	e7319811d5114dacd32d27fd0439973c		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618416				10488594470				21-B-8	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413840	R16-001_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/087/SRR10738387/SRR10738387_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/087/SRR10738387/SRR10738387_2.fastq.gz	2654099047;3055225232	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/087/SRR10738387/SRR10738387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/087/SRR10738387/SRR10738387_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/087/SRR10738387/SRR10738387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/087/SRR10738387/SRR10738387_2.fastq.gz	be1bc9cea31f43dac5383e613bde8deb;e8b25f2ced9d1a8fa21eba1bb3409764	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-8		12/20/19			PAIRED	R16-001_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										51923735	SRR10738387	R16-001_H5H27BBXX_S27_L004_R1_001.fastq.gz		SAMN13618416	R16-001_H5H27BBXX			R16-001		R16-001				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860709	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/087/SRR10738387	4167873921	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/087/SRR10738387	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/087/SRR10738387	51b97d40b238d87b1c07ef00a04a91c3		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618547				11263675742				21-B-3	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413877	R16-857_H7VHFBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/050/SRR10738350/SRR10738350_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/050/SRR10738350/SRR10738350_2.fastq.gz	2668786338;2857629744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/050/SRR10738350/SRR10738350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/050/SRR10738350/SRR10738350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/050/SRR10738350/SRR10738350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/050/SRR10738350/SRR10738350_2.fastq.gz	f7f5f77858241e465fd320141cb9f134;0f97c6a45cf2a6431a2bf96029dbd791	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-3		12/20/19			PAIRED	R16-857_H7VHFBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										55760771	SRR10738350	R16-857_H7VHFBBXX_S49_L007_R1_001.fastq.gz		SAMN13618547	R16-857_H7VHFBBXX			R16-857		R16-857				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860747	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/050/SRR10738350	3995202529	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/050/SRR10738350	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/050/SRR10738350	76d959a041072e6edc7b1c1b5fe42e4a		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618546				5733244616				21-B-3	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413876	R16-856_H7VHFBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/051/SRR10738351/SRR10738351.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/051/SRR10738351/SRR10738351_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/051/SRR10738351/SRR10738351_2.fastq.gz	1797741675;524478122;546387679	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/051/SRR10738351/SRR10738351.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/051/SRR10738351/SRR10738351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/051/SRR10738351/SRR10738351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/051/SRR10738351/SRR10738351.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/051/SRR10738351/SRR10738351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/051/SRR10738351/SRR10738351_2.fastq.gz	ad4d727e28ec6d572705b86dcc45483a;a350cf9c01de2de222739c4e68ed757d;8f372025c5002f4989cd70d19bfab2f5	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-3		12/20/19			PAIRED	R16-856_H7VHFBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										46304917	SRR10738351	R16-856_H7VHFBBXX_S16_L003_R1_001.fastq.gz		SAMN13618546	R16-856_H7VHFBBXX			R16-856		R16-856				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860745	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/051/SRR10738351	2108621244	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/051/SRR10738351	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/051/SRR10738351	4ecbbb1bb18ddf2b3d1410732131b710		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618545				12896900484				21-B-3	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413874	R16-855_H7VHFBBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/053/SRR10738353/SRR10738353_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/053/SRR10738353/SRR10738353_2.fastq.gz	3044580480;3283770649	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/053/SRR10738353/SRR10738353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/053/SRR10738353/SRR10738353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/053/SRR10738353/SRR10738353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/053/SRR10738353/SRR10738353_2.fastq.gz	342e61e5b85fbdf5a5a5cbd5f0de6900;9008faada5539e18cc945c45df6a08ea	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		21-B-3		12/20/19			PAIRED	R16-855_H7VHFBBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										63846042	SRR10738353	R16-855_H7VHFBBXX_S24_L004_R1_001.fastq.gz		SAMN13618545	R16-855_H7VHFBBXX			R16-855		R16-855				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860742	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/053/SRR10738353	4624948436	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/053/SRR10738353	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/053/SRR10738353	3906e487c98c83ff77357709222d62d3		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618460				10062304780				165-B-8X	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413936	R16-060_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/091/SRR10738291/SRR10738291_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/091/SRR10738291/SRR10738291_2.fastq.gz	2375464524;2765346359	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/091/SRR10738291/SRR10738291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/091/SRR10738291/SRR10738291_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/091/SRR10738291/SRR10738291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/091/SRR10738291/SRR10738291_2.fastq.gz	9297873ef2df413b56536e771fe968d6;47d927810c01d189a57a1d4092cdeef0	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		165-B-8X		12/20/19			PAIRED	R16-060_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										49813390	SRR10738291	R16-060_H5H27BBXX_S11_L002_R1_001.fastq.gz		SAMN13618460	R16-060_H5H27BBXX			R16-060		R16-060				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860805	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/091/SRR10738291	3997360499	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/091/SRR10738291	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/091/SRR10738291	c7b9de8953b2455d76dbda44c8feb4f9		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
SAMN13618450				7922144474				165-B-8X	ACC_DORSAL	SUB6698577														Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL								FALSE	SRX7413925	R16-048_H5H27BBXX	Illumina HiSeq 3000 sequencing; RNA-seq of human iPSCs: ACC_DORSAL		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/002/SRR10738302/SRR10738302_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR107/002/SRR10738302/SRR10738302_2.fastq.gz	2043599536;2300013885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/002/SRR10738302/SRR10738302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/002/SRR10738302/SRR10738302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/002/SRR10738302/SRR10738302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/002/SRR10738302/SRR10738302_2.fastq.gz	8277eeca22e6a2733a19b6b98a42b024;8732475f1de480e559fa5a4ed226c2de	12/20/19	12/20/19	FALSE											Illumina HiSeq 3000	ILLUMINA		165-B-8X		12/20/19			PAIRED	R16-048_H5H27BBXX	cDNA	TRANSCRIPTOMIC	RNA-Seq										39218537	SRR10738302	R16-048_H5H27BBXX_S28_L004_R1_001.fastq.gz		SAMN13618450	R16-048_H5H27BBXX			R16-048		R16-048				ACC_DORSAL	ACC_DORSAL						Homo sapiens	SRS5860796	SRP238174				male		fasp.sra.ebi.ac.uk:/vol1/srr/SRR107/002/SRR10738302	3231681333	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/002/SRR10738302	ftp.sra.ebi.ac.uk/vol1/srr/SRR107/002/SRR10738302	c2997a61eecff5ee5c4c153654cefc84		PRJNA596331	PRJNA596331	Dissecting transcriptomic signatures of neuronal differentiation and maturation using iPSCs			SRA1014248									male		9606					SKIN FIBROBLASTS	
