"accession"	"altitude"	"assembly_quality"	"assembly_software"	"base_count"	"binning_software"	"bio_material"	"broker_name"	"cell_line"	"cell_type"	"center_name"	"checklist"	"collected_by"	"collection_date"	"collection_date_submitted"	"completeness_score"	"contamination_score"	"country"	"cram_index_aspera"	"cram_index_ftp"	"cram_index_galaxy"	"cultivar"	"culture_collection"	"depth"	"description"	"dev_stage"	"ecotype"	"elevation"	"environment_biome"	"environment_feature"	"environment_material"	"environmental_package"	"environmental_sample"	"experiment_accession"	"experiment_alias"	"experiment_title"	"experimental_factor"	"fastq_aspera"	"fastq_bytes"	"fastq_ftp"	"fastq_galaxy"	"fastq_md5"	"first_created"	"first_public"	"germline"	"host"	"host_body_site"	"host_genotype"	"host_gravidity"	"host_growth_conditions"	"host_phenotype"	"host_sex"	"host_status"	"host_tax_id"	"identified_by"	"instrument_model"	"instrument_platform"	"investigation_type"	"isolate"	"isolation_source"	"last_updated"	"lat"	"library_construction_protocol"	"library_layout"	"library_name"	"library_selection"	"library_source"	"library_strategy"	"location"	"lon"	"mating_type"	"nominal_length"	"nominal_sdev"	"parent_study"	"ph"	"project_name"	"protocol_label"	"read_count"	"run_accession"	"run_alias"	"salinity"	"sample_accession"	"sample_alias"	"sample_capture_status"	"sample_collection"	"sample_description"	"sample_material"	"sample_title"	"replicate"	"DepMap_ID"	"CCLE_Name"	"cell_line_name"	"condition"	"pert_concentration"	"pert_concentration_units"	"pert_time"	"pert_time_units"	"sampling_campaign"	"sampling_platform"	"sampling_site"	"scientific_name"	"secondary_sample_accession"	"secondary_study_accession"	"sequencing_method"	"serotype"	"serovar"	"sex"	"specimen_voucher"	"sra_aspera"	"sra_bytes"	"sra_ftp"	"sra_galaxy"	"sra_md5"	"strain"	"study_accession"	"study_alias"	"study_title"	"sub_species"	"sub_strain"	"submission_accession"	"submission_tool"	"submitted_aspera"	"submitted_bytes"	"submitted_format"	"submitted_ftp"	"submitted_galaxy"	"submitted_host_sex"	"submitted_md5"	"submitted_sex"	"target_gene"	"tax_id"	"taxonomic_classification"	"taxonomic_identity_marker"	"temperature"	"tissue_lib"	"tissue_type"	"variety"
"SAMN03988830"				1726988214				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853596: siCtrl_siRrp40_rep1; Homo sapiens; RNA-Seq"								"false"	"SRX1146048"	"GSM1853596"	"Illumina HiSeq 2500 sequencing; GSM1853596: siCtrl_siRrp40_rep1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/004/SRR2159424/SRR2159424.fastq.gz"	1105406225	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2159424/SRR2159424.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2159424/SRR2159424.fastq.gz"	"ac976a2f2e11ea7e12db612a0f577149"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-01-06		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				33862514	"SRR2159424"	"GSM1853596_r1"		"SAMN03988830"	"GSM1853596"			"siCtrl_siRrp40_rep1"		"siCtrl_siRrp40_rep1"	1	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"KD_EXOSC3_AND_KD_CONTROL"								"Homo sapiens"	"SRS1030638"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/004/SRR2159424"	661389978	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2159424"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2159424"	"211ccdd44f3b5cd58f8d2671643e22e0"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988834"				1521677412				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853598: siCtrl_siRrp40_rep2; Homo sapiens; RNA-Seq"								"false"	"SRX1146049"	"GSM1853598"	"Illumina HiSeq 2500 sequencing; GSM1853598: siCtrl_siRrp40_rep2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/005/SRR2159425/SRR2159425.fastq.gz"	971950259	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2159425/SRR2159425.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2159425/SRR2159425.fastq.gz"	"9e0e23e98f568fab8300abbe8015fca0"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				29836812	"SRR2159425"	"GSM1853598_r1"		"SAMN03988834"	"GSM1853598"			"siCtrl_siRrp40_rep2"		"siCtrl_siRrp40_rep2"	2	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"KD_EXOSC3_AND_KD_CONTROL"								"Homo sapiens"	"SRS1030637"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/005/SRR2159425"	583788937	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2159425"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2159425"	"e077d9e5559cf15fd6fb1720fb6c038d"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988835"				1687505085				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853600: siCtrl_siRrp40_rep3; Homo sapiens; RNA-Seq"								"false"	"SRX1146050"	"GSM1853600"	"Illumina HiSeq 2500 sequencing; GSM1853600: siCtrl_siRrp40_rep3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/006/SRR2159426/SRR2159426.fastq.gz"	1072442626	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2159426/SRR2159426.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2159426/SRR2159426.fastq.gz"	"acb10c46202bdb304d29ed4779aaa643"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				33088335	"SRR2159426"	"GSM1853600_r1"		"SAMN03988835"	"GSM1853600"			"siCtrl_siRrp40_rep3"		"siCtrl_siRrp40_rep3"	3	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"KD_EXOSC3_AND_KD_CONTROL"								"Homo sapiens"	"SRS1030636"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/006/SRR2159426"	645956453	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2159426"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2159426"	"e9acf82e880c4e51770ae15d2880453e"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988831"				1753995825				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853602: siRRP40_rep1; Homo sapiens; RNA-Seq"								"false"	"SRX1146051"	"GSM1853602"	"Illumina HiSeq 2500 sequencing; GSM1853602: siRRP40_rep1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/007/SRR2159427/SRR2159427.fastq.gz"	1117923147	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2159427/SRR2159427.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2159427/SRR2159427.fastq.gz"	"1a1466179a415f7860ef05e961f7d97d"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				34392075	"SRR2159427"	"GSM1853602_r1"		"SAMN03988831"	"GSM1853602"			"siRRP40_rep1"		"siRRP40_rep1"	1	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"KD_EXOSC3"								"Homo sapiens"	"SRS1030634"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/007/SRR2159427"	672839172	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2159427"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2159427"	"4a0760140d144541ac23490e541cd700"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988832"				1707434253				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853603: siRRP40_rep2; Homo sapiens; RNA-Seq"								"false"	"SRX1146052"	"GSM1853603"	"Illumina HiSeq 2500 sequencing; GSM1853603: siRRP40_rep2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/008/SRR2159428/SRR2159428.fastq.gz"	1087055345	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2159428/SRR2159428.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2159428/SRR2159428.fastq.gz"	"4bb87c2a91ccb16e54eb3d4921a5fe34"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2020-04-25		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				33479103	"SRR2159428"	"GSM1853603_r1"		"SAMN03988832"	"GSM1853603"			"siRRP40_rep2"		"siRRP40_rep2"	2	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"KD_EXOSC3"								"Homo sapiens"	"SRS1030633"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/008/SRR2159428"	655184403	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2159428"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2159428"	"6e10c4a62603d6fa6f5a176fb0a6d99c"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN03988833"				1687638705				"HeLa"		"GEO"														"Illumina HiSeq 2500 sequencing; GSM1853605: siRRP40_rep3; Homo sapiens; RNA-Seq"								"false"	"SRX1146053"	"GSM1853605"	"Illumina HiSeq 2500 sequencing; GSM1853605: siRRP40_rep3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR215/009/SRR2159429/SRR2159429.fastq.gz"	1074632966	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2159429/SRR2159429.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2159429/SRR2159429.fastq.gz"	"e44e9c7784eeb257cee602b17cd29b67"	2015-11-26	2015-11-26	"false"											"Illumina HiSeq 2500"	"ILLUMINA"				2019-12-02		"For RNAseq experiments, individual replicates were collected and extracted using the RNAqueous kit (Life Technologies #AM1912). DNase digestion was performed twice, once in batch and once on the column, using the RNAeasy kit (Qiagen #74104). RNA libraries were prepared for sequencing using standard ribo-depleted Illumina protocols.  We sequenced using the Illumina HiSeq, outputting single end, 50 bp, stranded RNAseq reads"	"SINGLE"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				33090955	"SRR2159429"	"GSM1853605_r1"		"SAMN03988833"	"GSM1853605"			"siRRP40_rep3"		"siRRP40_rep3"	3	"ACH-001086"	"HELA_CERVIX"	"HELA_CERVIX"	"KD_EXOSC3"								"Homo sapiens"	"SRS1030635"	"SRP062389"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR215/009/SRR2159429"	647207687	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2159429"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2159429"	"a0dab8734093dbbf9bebb208d4126342"		"PRJNA292827"	"GSE72055"	"Human telomerase RNA processing and quality control"			"SRA289073"											9606						
"SAMN06298891"				10896436200				"K562"		"GEO"														"Illumina HiSeq 2000 sequencing; GSM2477622: K562 SF3B1 WT DMSO 1; Homo sapiens; RNA-Seq"								"false"	"SRX2538855"	"GSM2477622"	"Illumina HiSeq 2000 sequencing; GSM2477622: K562 SF3B1 WT DMSO 1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/008/SRR5230308/SRR5230308_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/008/SRR5230308/SRR5230308_2.fastq.gz"	"2887224035;3261958030"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5230308/SRR5230308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5230308/SRR5230308_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5230308/SRR5230308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5230308/SRR5230308_2.fastq.gz"	"bb4698ca7687fa7684b917ca02be1fe5;cd3fbd8fbe948c135cc9ed4db0c83361"	2017-12-23	2017-12-23	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-12-23		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA375127;PRJNA9558"				54482181	"SRR5230308"	"GSM2477622_r1"		"SAMN06298891"	"GSM2477622"			"K562 SF3B1 WT DMSO 1"		"K562 SF3B1 WT DMSO 1"	1	"ACH-000551"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"DMSO"								"Homo sapiens"	"SRS1958599"	"SRP098887"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR523/008/SRR5230308"	4242393837	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/008/SRR5230308"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/008/SRR5230308"	"0853db78343009d015e5f81226f721c2"		"PRJNA371421"	"GSE94528"	"H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]"			"SRA535666"											9606						
"SAMN06298890"				10765961000				"K562"		"GEO"														"Illumina HiSeq 2000 sequencing; GSM2477623: K562 SF3B1 WT DMSO 2; Homo sapiens; RNA-Seq"								"false"	"SRX2538856"	"GSM2477623"	"Illumina HiSeq 2000 sequencing; GSM2477623: K562 SF3B1 WT DMSO 2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/009/SRR5230309/SRR5230309_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/009/SRR5230309/SRR5230309_2.fastq.gz"	"3059143883;3184464495"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5230309/SRR5230309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5230309/SRR5230309_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5230309/SRR5230309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5230309/SRR5230309_2.fastq.gz"	"caf9eade7c6b9ad43e288af6b1979712;b0cec3f55ae822bf2885f8d28bb0f163"	2017-12-23	2017-12-23	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-12-23		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA375127;PRJNA9558"				53829805	"SRR5230309"	"GSM2477623_r1"		"SAMN06298890"	"GSM2477623"			"K562 SF3B1 WT DMSO 2"		"K562 SF3B1 WT DMSO 2"	2	"ACH-000551"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"DMSO"								"Homo sapiens"	"SRS1958600"	"SRP098887"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR523/009/SRR5230309"	4323661378	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/009/SRR5230309"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/009/SRR5230309"	"9303276df556d6dd4415f1db7a7db743"		"PRJNA371421"	"GSE94528"	"H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]"			"SRA535666"											9606						
"SAMN06298889"				10876768200				"K562"		"GEO"														"Illumina HiSeq 2000 sequencing; GSM2477624: K562 SF3B1 WT DMSO 3; Homo sapiens; RNA-Seq"								"false"	"SRX2538857"	"GSM2477624"	"Illumina HiSeq 2000 sequencing; GSM2477624: K562 SF3B1 WT DMSO 3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/000/SRR5230310/SRR5230310_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/000/SRR5230310/SRR5230310_2.fastq.gz"	"2898805607;3340169241"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5230310/SRR5230310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5230310/SRR5230310_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5230310/SRR5230310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5230310/SRR5230310_2.fastq.gz"	"50ba800821ea5ceaa1e10d76e686660a;80a6ea0f01810c3151d354e10aa016f4"	2017-12-23	2017-12-23	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-12-23		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA375127;PRJNA9558"				54383841	"SRR5230310"	"GSM2477624_r1"		"SAMN06298889"	"GSM2477624"			"K562 SF3B1 WT DMSO 3"		"K562 SF3B1 WT DMSO 3"	3	"ACH-000551"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"DMSO"								"Homo sapiens"	"SRS1958601"	"SRP098887"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR523/000/SRR5230310"	4314387862	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/000/SRR5230310"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/000/SRR5230310"	"a13af5fce86f91e31db9ebf10fe49b2b"		"PRJNA371421"	"GSE94528"	"H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]"			"SRA535666"											9606						
"SAMN06298898"				10809587600				"K562"		"GEO"														"Illumina HiSeq 2000 sequencing; GSM2477625: K562 SF3B1 WT 38800 1xGI50 1; Homo sapiens; RNA-Seq"								"false"	"SRX2538858"	"GSM2477625"	"Illumina HiSeq 2000 sequencing; GSM2477625: K562 SF3B1 WT 38800 1xGI50 1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/001/SRR5230311/SRR5230311_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/001/SRR5230311/SRR5230311_2.fastq.gz"	"3047336952;3209039812"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5230311/SRR5230311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5230311/SRR5230311_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5230311/SRR5230311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5230311/SRR5230311_2.fastq.gz"	"590617fa2d7d855e0f8162fe58daacf6;41948fd1dbf62eaa98d89f8e46410530"	2017-12-23	2017-12-23	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-12-23		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA375127;PRJNA9558"				54047938	"SRR5230311"	"GSM2477625_r1"		"SAMN06298898"	"GSM2477625"			"K562 SF3B1 WT 38800 1xGI50 1"		"K562 SF3B1 WT 38800 1xGI50 1"	1	"ACH-000551"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"H3B-8800"								"Homo sapiens"	"SRS1958602"	"SRP098887"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR523/001/SRR5230311"	4328518566	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/001/SRR5230311"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/001/SRR5230311"	"7f05cec9ed3c298f774d0f4800b831e6"		"PRJNA371421"	"GSE94528"	"H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]"			"SRA535666"											9606						
"SAMN06298872"				10954000800				"K562"		"GEO"														"Illumina HiSeq 2000 sequencing; GSM2477626: K562 SF3B1 WT 38800 1xGI50 2; Homo sapiens; RNA-Seq"								"false"	"SRX2538859"	"GSM2477626"	"Illumina HiSeq 2000 sequencing; GSM2477626: K562 SF3B1 WT 38800 1xGI50 2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/002/SRR5230312/SRR5230312_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/002/SRR5230312/SRR5230312_2.fastq.gz"	"2879595816;3319831178"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/002/SRR5230312/SRR5230312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/002/SRR5230312/SRR5230312_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/002/SRR5230312/SRR5230312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/002/SRR5230312/SRR5230312_2.fastq.gz"	"1069b780c9f4b883dd986e4d247cf49d;dfb02a7a252d9b3315b53e2173b14169"	2017-12-23	2017-12-23	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-12-23		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA375127;PRJNA9558"				54770004	"SRR5230312"	"GSM2477626_r1"		"SAMN06298872"	"GSM2477626"			"K562 SF3B1 WT 38800 1xGI50 2"		"K562 SF3B1 WT 38800 1xGI50 2"	2	"ACH-000551"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"H3B-8800"								"Homo sapiens"	"SRS1958603"	"SRP098887"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR523/002/SRR5230312"	4282800543	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/002/SRR5230312"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/002/SRR5230312"	"ec7131bfe91993eb533c6a2c3b040626"		"PRJNA371421"	"GSE94528"	"H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]"			"SRA535666"											9606						
"SAMN06298873"				10897878400				"K562"		"GEO"														"Illumina HiSeq 2000 sequencing; GSM2477627: K562 SF3B1 WT 38800 1xGI50 3; Homo sapiens; RNA-Seq"								"false"	"SRX2538860"	"GSM2477627"	"Illumina HiSeq 2000 sequencing; GSM2477627: K562 SF3B1 WT 38800 1xGI50 3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/003/SRR5230313/SRR5230313_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR523/003/SRR5230313/SRR5230313_2.fastq.gz"	"2712722660;3868678803"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5230313/SRR5230313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5230313/SRR5230313_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5230313/SRR5230313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5230313/SRR5230313_2.fastq.gz"	"3a952a25090ad4ed1524678c5936e2f0;db15f47f20d8f724af0e1d5f0681d863"	2017-12-23	2017-12-23	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-12-23		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA375127;PRJNA9558"				54489392	"SRR5230313"	"GSM2477627_r1"		"SAMN06298873"	"GSM2477627"			"K562 SF3B1 WT 38800 1xGI50 3"		"K562 SF3B1 WT 38800 1xGI50 3"	3	"ACH-000551"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"H3B-8800"								"Homo sapiens"	"SRS1958604"	"SRP098887"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR523/003/SRR5230313"	4652115025	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/003/SRR5230313"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR523/003/SRR5230313"	"1bf8fef17e2c7f396048900fd4df4d15"		"PRJNA371421"	"GSE94528"	"H3B-8800, a novel oral splicing modulator, induces lethality in spliceosome mutant cancers [K562]"			"SRA535666"											9606						
